Country,year,policy,policy_imp,policy_exp,policy_impexp,policy_eu,policy_contig,policy_comlang_off,policy_comrelig,policy_comcol,policy_col45,policy_fta_hmr,policy_fta_wto,policy_ODA,patents_ds_imp,capacity_ws_ds_imp,patents_ds_exp,capacity_ws_ds_exp,patents_ds_eu,capacity_ws_ds_eu,patents_ds_imp_imp,capacity_ws_ds_imp_imp,patents_ds,policy_leakage_index,policy_share,capacity_ds_global,patents_ds_global,ff_perc_tot,co2_int,ffperctot_co2int,innovator,Duration,gdp_pc_ppp,exports,imports,pop_tot,co2_tot,co2_pc,co2_int_gdp,merch_exp,co2intExpShare,v2x_polyarchy,v2x_libdem,UniqueID,gdp_pc_ppp_sc,pop_tot_sc,co2_int_sc,co2_int_gdp_sc,ff_perc_tot_sc,v2x_polyarchy_sc,merch_exp_sc
Albania,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187838913244497,60.10905850847047,1.8262792915095973,24.58220845660467,0.0,0.0,52.57792504668376,1444.5348575495898,,0.0,0.0,2.5370907239158766,,0.10219675262655206,90.68194842406876,9.267400650788309,0,1.0,4827.02770509029,15.4050638293415,24.0318995737727,3286542.0,6060.5,1.84403546341413,0.382022970671895,7.251092077519849e-05,,0.182,0.081,Albania_1990,-7.1787327056481445,-8.999497633584845,-7.762385836638522,4.997990094451389,-8.379209980617672,-6.45315770556272,-9.868224242696986
Albania,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6211735820588467,100.77307518017909,2.2248048139456036,53.55345370284853,0.0,0.0,74.92808517337511,2880.6690300733676,,0.0,0.0,2.710860440329969,,0.04339467179346333,51.018950837681956,2.2139506268480496,0,2.0,3496.36962587578,7.48481872467814,28.5857013386048,3266790.0,4119.6,1.26105442957766,0.360675376037162,3.0839621018065234e-05,,0.291,0.213,Albania_1991,-7.9564664060149495,-9.005510617061532,-8.74108652297176,4.159896478486413,-9.311781938960127,-4.328949957795338,-9.943954450293182
Albania,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5243391455669904,155.66730729079532,3.0760126500757434,119.64843479973783,0.0,0.0,339.3440986852493,14988.563786149562,,0.0,0.0,2.7975965772403546,,0.03716012084592145,32.73716012084592,1.216516826242915,0,3.0,3264.82075682893,12.4995914932505,96.2858807479086,3247039.0,2239.3,0.689643703078405,0.211234782686277,1.9683002433943846e-05,,0.39,0.311,Albania_1992,-8.091800464818288,-9.011523296114184,-9.192197185573544,-1.7070505661992463,-9.410658837603197,-2.3996236547772565,-9.964229628806242
Albania,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064587440583737,63.85470999346834,1.9947788525134142,101.29348437505503,0.0,0.0,133.24744722659366,4121.151244443513,,0.0,0.0,3.0591967088849565,,0.04649811101424005,52.18482999128161,2.426496018193856,0,4.0,3598.81026672314,15.9788298133865,64.5395029570264,3227287.0,2078.4,0.644008419455722,0.178950367406314,3.408871504265141e-05,,0.447,0.313,Albania_1993,-7.896592618812459,-9.01753627959087,-8.712317978049647,-2.974517126449367,-9.262562925777043,-1.2887994197062405,-9.938049797296623
Albania,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4049495257661788,66.13244849395232,3.7965785864618784,246.10246170662865,0.0,0.0,57.769965550537165,2719.2929007074717,,0.0,0.0,3.334735297004766,,0.032400207361327114,53.76671850699844,1.7420528287648536,0,5.0,3921.61497019167,11.983694347693,41.1188903879182,3207536.0,2084.7,0.649938145666954,0.165732268620748,3.4278161897227706e-05,,0.439,0.36,Albania_1994,-7.707921990011567,-9.023548958643524,-8.673284231982857,-3.493451666706802,-9.486148714440532,-1.444704575505682,-9.93770551118822
Albania,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3603419694661494,84.5155330455115,2.5271473920164085,153.80024101785642,0.0,0.0,47.5708395032475,2955.4883612223084,,0.0,0.0,4.029476247119967,,0.045193851800871765,39.06400550584996,1.7654528755798218,0,6.0,4471.60170207133,12.6408294970517,34.9697653759195,3187784.0,1951.1,0.612055270997031,0.136876070763082,4.1460646252429655e-05,,0.449,0.364,Albania_1995,-7.386469602791319,-9.029561942120209,-9.036079688222488,-4.6263284905051965,-9.283247832698104,-1.2498231307563792,-9.924652617843256
Albania,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9906792182138264,138.50419472538627,2.3253882382751776,162.6035629467822,0.0,0.0,66.24007291090595,4608.742520207709,,0.0,0.0,4.800496391461507,,0.032098343862045416,15.857947754823288,0.509013859980669,0,7.0,4908.93239201987,11.620333234637,33.27511148197,3168033.0,1968.0,0.62120565031993,0.12654597796657,4.052736478152422e-05,,0.404,0.337,Albania_1996,-7.130861628744054,-9.035574621172861,-9.60869865375962,-5.031881667489192,-9.490936120441967,-2.1267896321282356,-9.926348691638632
Albania,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6051117468453304,159.10396276739377,2.44702801810582,236.74709464219387,0.0,0.0,56.54556516238063,5604.982651169624,,0.0,0.0,5.812861914866833,,0.02868292682926829,18.12292682926829,0.5198185841760856,0,8.0,4400.31275393017,10.1971272832635,35.2284289698301,3148281.0,1479.16,0.469830996661353,0.106772182554915,2.6275436134433447e-05,,0.377,0.311,Albania_1997,-7.428136067151428,-9.041587604649546,-9.552809368794163,-5.808188880618584,-9.545102947630518,-2.6529695329513494,-9.952249048032138
Albania,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6404655442953981,200.7635954144119,2.5981065725037076,291.220064745291,0.0,0.0,60.15647612108842,7362.075037496906,,0.0,0.0,7.54769030275657,,0.02754491017964072,24.7185628742515,0.6808705941410593,0,9.0,4819.06783239106,11.4671662578473,36.6703685610943,3128530.0,1804.55,0.576804441702653,0.11969211925711,3.93909884178965e-05,,0.407,0.332,Albania_1998,-7.183385036209633,-9.0476002837022,-9.390059351981394,-5.300960002889961,-9.563151329601592,-2.0683251987034454,-9.928413854434766
Albania,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.197203276330411,382.14133798262407,2.7418511213601686,450.756103947344,0.0,0.0,75.076826266054,13057.489559506988,,0.0,0.0,11.006394521881317,,0.019861345325089003,22.134719880082443,0.43962531521243003,0,10.0,5474.84991414145,16.8417629634305,34.1692673931568,3108778.0,2985.35,0.960296939826517,0.175401509609621,6.276498536377763e-05,,0.398,0.319,Albania_1999,-6.800098124988197,-9.053613267178886,-9.453816734571118,-3.113843130819748,-9.685008873109277,-2.243718498977816,-9.885935754366349
