Country,year,policy,policy_imp,policy_exp,policy_impexp,policy_eu,policy_contig,policy_comlang_off,policy_comrelig,policy_comcol,policy_col45,policy_fta_hmr,policy_fta_wto,policy_ODA,patents_ds_imp,capacity_ws_ds_imp,patents_ds_exp,capacity_ws_ds_exp,patents_ds_eu,capacity_ws_ds_eu,patents_ds_imp_imp,capacity_ws_ds_imp_imp,patents_ds,policy_leakage_index,policy_share,capacity_ds_global,patents_ds_global,ff_perc_tot,co2_int,ffperctot_co2int,innovator,Duration,gdp_pc_ppp,exports,imports,pop_tot,elec_oil,elec_gas,elec_coal,co2_tot,co2_pc,co2_int_gdp,merch_exp,co2intExpShare,v2x_polyarchy,v2x_libdem,UniqueID,gdp_pc_ppp_sc,pop_tot_sc,co2_int_sc,co2_int_gdp_sc,ff_perc_tot_sc,v2x_polyarchy_sc
Albania,1990,0.0,0.012312455255499842,0.010700099118340035,0.011753917072300274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187838913244497,60.10905850847047,1.8262792915095973,24.58220845660467,0.0,0.0,52.5779250384297,1444.5348573228164,,12.47128592829579,0.0,2.5370907239158766,,0.10219675262655206,90.68194842406876,9.267400650788309,0,1.0,15864229288.0,15.40506383,24.03189957,3286542.0,13.59223301,0.0,0.0,6060.5,1.844035463,0.382022971,7.251092077519849e-05,,0.182,0.081,Albania_1990,-9.647214727649285,-9.006067460323871,-7.751813180713691,5.102877859282044,-8.376091782878824,-6.457820087240405
Albania,1991,0.0,0.00017393136683043693,0.0008821730649585874,0.00035569822881085025,0.0,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.008497892167739073,2.6211735820588467,100.77307518017909,2.2248048139456036,53.55345370284853,0.0,0.0,74.92808517703217,2880.6690302139664,,0.0002608970502456554,1.728681557665487e-05,2.710860440329969,,0.04339467179346333,51.018950837681956,2.2139506268480496,0,2.0,11421905330.0,7.484818725,28.58570134,3266790.0,7.857517025,0.0,0.0,4119.6,1.26105443,0.360675376,3.0839621018065234e-05,,0.291,0.213,Albania_1991,-9.746002159357586,-9.012040959376579,-8.735138196736749,4.258923059835126,-9.310457893293442,-4.336404644983284
Albania,1992,0.0,0.002126687855104695,0.0033216167401005853,0.0023247101320741192,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.0026346494034400992,3.5243391455669904,155.66730729079532,3.0760126500757434,119.64843479973783,0.0,0.0,339.34409869262015,14988.563786475124,,1.4921844132464397,0.00025881092107534625,2.7975965772403546,,0.03716012084592145,32.73716012084592,1.216516826242915,0,3.0,10601000325.0,12.49959149,96.28588075,3247039.0,4.949911609,0.0,0.0,2239.3,0.689643703,0.211234783,1.9683002433943846e-05,,0.39,0.311,Albania_1992,-9.764257265893525,-9.018014156004263,-9.18838034290608,-1.6490541944899242,-9.409525018750651,-2.409614472658009
Albania,1993,0.0,0.01076739814246097,0.0033042379051291793,0.009086042533709931,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.006953580154106372,2.064587440583737,63.85470999346834,1.9947788525134142,101.29348437505503,0.0,0.0,133.2474472327329,4121.151244633391,,10.018509082956436,0.0003028764582498344,3.0591967088849565,,0.04649811101424005,52.18482999128161,2.426496018193856,0,4.0,11614393589.0,15.97882981,64.53950296,3227287.0,6.092377444,0.0,0.0,2078.4,0.644008419,0.178950367,3.408871504265141e-05,,0.447,0.313,Albania_1993,-9.74172164741825,-9.02398765505697,-8.706233721352675,-2.92538475212608,-9.261144188871038,-1.3002504340464878
Albania,1994,0.0,0.010773847915652064,0.005946067080002986,0.008512588694666439,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.017223910840932118,1.4049495257661788,66.13244849395232,3.7965785864618784,246.10246170662865,0.0,0.0,57.76996555346199,2719.292900845146,,6.957271195587816,0.0006292667459031066,3.334735297004766,,0.032400207361327114,53.76671850699844,1.7420528287648536,0,5.0,12578721195.0,11.98369435,41.11889039,3207536.0,4.313625983,0.0,0.0,2084.7,0.649938146,0.165732269,3.4278161897227706e-05,,0.439,0.36,Albania_1994,-9.720277140348793,-9.029960851684656,-8.667015542074218,-3.4479484060955183,-9.485160128690634,-1.4559506499919639
Albania,1995,0.0,0.013408608568775677,0.007236849137884948,0.011947336051570563,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.050025947067981316,1.3603419694661494,84.5155330455115,2.5271473920164085,153.80024101785642,0.0,0.0,47.570839508798365,2955.488361567174,,8.300492439315546,0.0005994626701550082,4.029476247119967,,0.045193851800871765,39.06400550584996,1.7654528755798218,0,6.0,14254500360.0,12.6408295,34.96976538,3187784.0,6.013860943,0.0,0.0,1951.1,0.612055271,0.136876071,4.1460646252429655e-05,,0.449,0.364,Albania_1995,-9.683011528613632,-9.035934350737364,-9.031525195333478,-4.588747957327893,-9.281868890971742,-1.2613253800601179
Albania,1996,0.0,0.006041290578072303,0.0035816228205734105,0.005578557270850749,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.030822355799974423,1.9906792182138264,138.50419472538627,2.3253882382751776,162.6035629467822,0.0,0.0,66.24007290698432,4608.742519934856,,4.021254368244885,0.0008540162662808656,4.800496391461507,,0.032098343862045416,15.857947754823288,0.509013859980669,0,7.0,15551659813.0,11.62033323,33.27511148,3168033.0,4.279505182,0.0,0.0,1968.0,0.62120565,0.126545978,4.052736478152422e-05,,0.404,0.337,Albania_1996,-9.654165579491158,-9.041907547365048,-9.606849767314197,-4.9971373597914015,-9.489956745063797,-2.137139094753424
Albania,1997,0.0,0.006146426554845743,0.005611336927740402,0.006047076936321913,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.02889265749638842,1.6051117468453304,159.10396276739377,2.44702801810582,236.74709464219387,0.0,0.0,56.54556516265335,5604.982651196657,,3.676660216325653,0.0003541500747046283,5.812861914866833,,0.02868292682926829,18.12292682926829,0.5198185841760856,0,8.0,13853421037.0,10.19712728,35.22842897,3148281.0,3.825554705,0.0,0.0,1479.16,0.469830997,0.106772183,2.6275436134433447e-05,,0.377,0.311,Albania_1997,-9.691930643159324,-9.047881046417755,-9.550696407250586,-5.778873625329952,-9.544227782468377,-2.6626273235694082
Albania,1998,0.0,0.005061808533479036,0.005436599794238684,0.005139110754799436,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.05214042364094207,1.6404655442953981,200.7635954144119,2.5981065725037076,291.220064745291,0.0,0.0,60.15647611929326,7362.07503727721,,2.7957868108935426,0.00033679440718648946,7.54769030275657,,0.02754491017964072,24.7185628742515,0.6808705941410593,0,9.0,15076598286.0,11.46716626,36.67036856,3128530.0,3.679780779,0.0,0.0,1804.55,0.576804442,0.119692119,3.93909884178965e-05,,0.407,0.332,Albania_1998,-9.664729894160564,-9.05385424304544,-9.387177401772256,-5.268097493604248,-9.562310887274105,-2.078751513773871
Albania,1999,0.0,0.005113168225657927,0.012396803207343123,0.006820809963453321,0.0,0.0,0.0,0.0006150000100000001,0.0,0.0,0.0,0.0,0.044272719954922324,2.197203276330411,382.14133798262407,2.7418511213601686,450.756103947344,0.0,0.0,75.07682625911788,13057.489558300646,,2.5923052068692547,0.0002977508499498528,11.006394521881317,,0.019861345325089003,22.134719880082443,0.43962531521243003,0,10.0,17020092966.0,16.84176296,34.16926739,3108778.0,2.670841776,0.0,0.0,2985.35,0.96029694,0.17540151,6.276498536377763e-05,,0.398,0.319,Albania_1999,-9.62151088316741,-9.059827742098147,-9.451236035971764,-3.0656850949844108,-9.684402869488892,-2.253914256712531
