Country,year,policy,policy_imp,policy_exp,policy_impexp,policy_eu,policy_contig,policy_comlang_off,policy_comrelig,policy_comcol,policy_col45,policy_fta_hmr,policy_fta_wto,policy_ODA,patents_ds_imp,capacity_ws_ds_imp,patents_ds_exp,capacity_ws_ds_exp,patents_ds_eu,capacity_ws_ds_eu,patents_ds_imp_imp,capacity_ws_ds_imp_imp,patents_ds,policy_leakage_index,policy_share,capacity_ds_global,patents_ds_global,ff_perc_tot,co2_int,ffperctot_co2int,innovator,Duration,gdp_pc_ppp,exports,imports,pop_tot,co2_tot,co2_pc,co2_int_gdp,merch_exp,co2intExpShare,v2x_polyarchy,v2x_libdem,UniqueID,gdp_pc_ppp_sc,pop_tot_sc,co2_int_sc,co2_int_gdp_sc,ff_perc_tot_sc,v2x_polyarchy_sc,merch_exp_sc
Estonia,1996,0.0,0.1803118976409195,0.12914893665173943,0.16021167636523675,0.0,0.0,0.0,1.2849537301,0.0,0.0,0.0,5.0,,2.8924392364337717,233.06214815352175,2.201966088038057,193.90368843298566,0.0,0.0,207.38266716934876,16710.13492400532,0.0,98.84257977430147,0.13516906266123221,4.800496391461507,74.93806326993999,0.9991819562930934,0.0,0.0,0,7.0,13558.5685292989,61.2792495590997,71.6981931917923,1415594.0,17480.0,12.3481732756708,0.910728389135442,0.0004068399227826441,0.0003475050646698085,0.877,0.807,Estonia_1996,-2.0753829712639256,-9.569059167087142,-10.0,25.754644112016777,5.846532308366095,7.091102704513705,-9.260640489010033
Estonia,1997,0.0,0.17476165791430956,0.11966978235655315,0.15284393957900735,0.0,0.0,0.0,1.2889609303,0.0,0.0,0.0,5.0,,3.7474261178188613,303.05970368382845,2.108797821914144,201.05255051889344,0.0,0.0,302.30103691354316,24447.516719463947,0.0,92.62411593680272,0.1313790510902512,5.812861914866833,82.0355120635818,0.9987306715901222,1002.0965843526425,1000.8245946886822,0,8.0,15503.8448315578,70.3823658944387,80.6689784959639,1399535.0,17858.5,12.7603096742847,0.823041626958966,0.000554997701371918,0.00047237883615241035,0.877,0.813,Estonia_1997,-0.938421523072261,-9.573947912614281,14.72714304414395,22.31211501952717,5.839375155876638,7.091102704513705,-8.991389964189613
Estonia,1998,0.0,0.2796038305156616,0.2853625283166247,0.2819299196261105,0.0,0.0,0.0,1.7406810503,0.0,0.0,0.0,6.0,,4.8670162250873945,430.3833599129936,2.398910691630715,267.9338787349311,0.0,0.0,404.95468273814913,35809.569746444686,0.0,101.18629135773585,0.1293914822964027,7.54769030275657,91.2390722396198,0.9978779178629386,1058.1522906004245,1055.9068045262507,0,9.0,16332.8199308887,73.6343458033252,83.203890024196,1386156.0,16427.8,11.8513356361044,0.725614785827103,0.0006235305239808494,0.0004930370521439096,0.877,0.811,Estonia_1998,-0.453907971781053,-9.578020801736121,16.110340520787222,18.487196335555296,5.825850902957752,7.091102704513705,-8.866843695808836
Estonia,1999,0.0,0.2763411201582151,0.35196369015742396,0.3083579050631419,0.0,0.0,0.0,2.4265826693,0.0,0.0,0.0,7.0,,5.054458710520877,569.5369618785566,3.230218115613965,484.6408610599298,0.0,0.0,375.29530643058354,42288.31629128679,0.0,88.05327082656098,0.13651069146861075,11.006394521881317,102.31461012692709,0.997812942235945,1065.891290364081,1063.5601245418516,0,10.0,16215.5789517586,69.866107922999,74.2503456699339,1390244.0,15487.3,11.1399869375448,0.686992858576698,0.0005394927659330971,0.00041231930275682094,0.874,0.8,Estonia_1999,-0.5224321568874952,-9.576776316294005,16.301303504957207,16.970922899663684,5.824820421606558,7.032638271088917,-9.019567438527849
Estonia,2000,0.0,0.282226308158159,0.37369327213644093,0.3213625577958609,0.0,0.0,0.0,2.4265826693,0.0,0.0,0.0,7.0,,5.456085724659872,743.4866275059043,3.4888525221415034,687.1139400748905,0.0,0.0,353.9265464748767,48228.65103348825,0.0016669999999999999,86.49713937939953,0.13662644507791016,14.724071655655113,114.96161493357009,0.9976252968378954,1022.6062992125984,1020.1779128002701,0,11.0,17765.2075336124,61.6273943170743,64.8682158484488,1396985.0,14932.5,10.6890911498692,0.601686815627965,0.0006080874680635002,0.000319678159827993,0.872,0.8,Estonia_2000,0.38328388691449433,-9.574724193895445,15.23322864612647,13.621859399917255,5.821844458275773,6.993661982139056,-8.894908715075253
Estonia,2001,0.0,0.34285949624790557,0.37477886379607894,0.35674864378302684,0.0,1.0,0.0,2.5544056833,2.0,0.0,0.0,8.0,,5.942974793752963,1168.6919922190336,3.7480318379020203,814.2152612922902,0.0,0.0,387.51181249755786,76204.58909437616,0.001515454545454545,103.09242789646194,0.13920398908502124,20.598761207360685,128.54055703051824,0.9976205385097057,1004.544771446462,1002.1544958475287,0,12.0,18952.1070075434,61.2519641640865,65.2050237374212,1388115.0,15231.7,10.9729381211211,0.578982490799234,0.0006619195303685054,0.00035279956844909226,0.872,0.8,Estonia_2001,1.0769945660460358,-9.577424435057768,14.787553061913652,12.730501379524885,5.82176899354093,6.993661982139056,-8.797078475139154
Estonia,2002,0.0,0.42419650549608534,0.49087818757857127,0.45203640417362634,0.0,1.0,0.0,2.7588888873000004,3.0,0.0,0.0,9.0,,6.693177425612784,1632.3528559261179,4.834360972927027,1461.2210208611111,0.0,0.0,437.48170979247357,106694.39534987445,0.0013776859504132228,127.51558366231401,0.16035254269437613,26.735501160923732,140.91862384592568,0.9962921764923991,972.8320355951058,969.2249461045791,0,13.0,20364.0087374035,57.9558790066704,65.3623356999864,1379350.0,14795.1,10.7261391235002,0.526720414522264,0.0006816372183982312,0.0004048630265102959,0.868,0.802,Estonia_2002,1.9022129854664378,-9.580092711696748,14.005028335293407,10.678723966928775,5.800701828054326,6.915709404239333,-8.761245069017653
Finland,1990,0.0,0.1738007698892097,0.13000793672790664,0.1520575044958274,0.0,0.0,0.0,0.43233401,0.0,0.0,1.0,1.0,,3.891145962814835,161.25412969141016,3.1389853737586844,139.5213622171578,0.0,0.0,92.20183702167809,3820.963573960757,0.2686421636707308,108.3995401799001,0.055157289232961426,2.5360907239158763,48.97611284025844,0.40073677747566006,91.16914305762651,36.534828594130694,0,1.0,32939.3832880618,22.1462417132994,23.6952912850845,4986431.0,54562.8,10.9422550918683,0.332193684264699,0.008376902938773039,0.014772448098248037,0.867,0.816,Finland_1990,9.252179694085797,-8.482010570543178,-7.750364109808564,3.041722536418682,-3.6445126421440204,6.896221259764406,5.22353759694961
Finland,1991,0.0,0.18661823987789808,0.17346953060454148,0.17985676596551758,0.0,0.0,0.0,0.83505401,0.0,0.0,2.0,2.0,,4.121498100075056,181.63117518249976,3.673279380355589,166.44834621095896,0.0,0.0,91.57514507215181,4035.644518836473,0.27422014879157347,108.35578423799453,0.05404379190570656,2.7088989018684306,53.01040394568949,0.3936381709741551,97.76688204108682,38.48477662849938,0,2.0,30831.6088058571,21.2695197873393,22.2188978008953,5013740.0,55132.7,10.9963221068504,0.356657421806721,0.007117784530969456,0.013939290031966872,0.855,0.803,Finland_1991,8.020242449507187,-8.473697054657961,-7.587562202128838,4.002154032679748,-3.7570930350964717,6.662363526065242,2.9353128723335775
Finland,1992,0.0,0.22609129824947682,0.216122912140068,0.220806581767929,0.0,0.0,0.0,0.8396100098,0.0,0.0,3.0,3.0,,4.327202575111318,176.21867518826895,3.9774312345939045,174.5808297371172,0.0,0.0,106.87090976888462,4352.153570058689,0.3542910443559758,125.8537673230627,0.07093638196247322,2.7957104825657986,57.12294531426317,0.3116904174248293,64.65238618552615,20.151529237677913,0,3.0,29648.7439434243,25.5443372413956,24.6974593663749,5041992.0,52280.5,10.3690168488962,0.34972870583261,0.0067431154481201044,0.013560307323764056,0.859,0.808,Finland_1992,7.328889891803719,-8.46509646691073,-8.404675930127548,3.730136846477002,-5.056743930550087,6.740316103964965,2.2544181656787625
Finland,1993,0.0,0.2529201631937984,0.2171818452020907,0.23276856456432446,0.0,0.0,0.0,1.7361819798,0.0,0.0,4.0,4.0,,4.726419060024747,224.3870449187339,4.161711478967288,230.64362372148136,0.0,0.0,126.59223869642032,6009.974568481877,0.4054157675963416,142.49478771648077,0.1160673268551226,3.053383156313268,60.706615285693786,0.34800920794611645,100.54222866399522,34.989621362494304,0,4.0,29310.3070704183,31.3809679376488,26.7839641573715,5066447.0,53461.8,10.5521285429414,0.360014261112647,0.0065648718026811055,0.012681658528683151,0.868,0.818,Finland_1993,7.13108268220191,-8.457651777212353,-7.519079389181151,4.133941507580527,-4.480745851550013,6.915709404239333,1.9304919058675907
Finland,1994,0.0,0.25212716241662325,0.2468599023080766,0.24917228757604992,0.0,0.0,0.0,1.73901697982,0.0,0.0,6.0,6.0,,4.9331980791482675,264.27661282456774,4.286451105900618,253.86064181395054,0.0,0.0,140.06631666170873,7503.499990124191,0.43855978872394685,140.45383094589573,0.13459112016862215,3.329145342608911,64.28199907790344,0.4178318619263501,157.37640976696096,65.75687831621353,0,5.0,30340.8238404135,34.0356367563279,28.3925993674861,5088333.0,59927.6,11.7774524583985,0.388171808397341,0.007272601734523961,0.013671458218317702,0.874,0.828,Finland_1994,7.733391895468419,-8.450989152851745,-6.1166727271150645,5.2393897336836375,-3.373393046402798,7.032638271088917,3.216665722688054
